,2023-07-03,2023-07-04,2023-07-05,2023-07-06,2023-07-07,2023-07-10,2023-07-11,2023-07-12,2023-07-13,2023-07-14,2023-07-17,2023-07-18,2023-07-19,2023-07-20,2023-07-21,2023-07-24,2023-07-25,2023-07-26,2023-07-27,2023-07-28,2023-07-31,2023-08-01,2023-08-02,2023-08-03,2023-08-04
ADANIENT.NS,2385.5,2387.699951171875,2399.14990234375,2402.89990234375,2379.60009765625,2410.25,2422.89990234375,2387.89990234375,2362.050048828125,2376.10009765625,2408.550048828125,2416.89990234375,2423.75,2419.75,2416.300048828125,2418.199951171875,2466.64990234375,2470.75,2428.39990234375,2463.199951171875,2492.199951171875,2481.10009765625,2473.550048828125,2532.60009765625,2541.800048828125
ADANIPORTS.NS,737.4000244140625,741.7000122070312,742.75,740.0499877929688,718.7000122070312,720.0999755859375,729.9000244140625,724.2000122070312,717.2000122070312,726.0999755859375,731.0499877929688,728.1500244140625,731.4000244140625,732.4500122070312,728.4500122070312,735.2999877929688,749.25,752.6500244140625,748.75,755.7000122070312,777.8499755859375,765.3499755859375,761.4500122070312,773.3499755859375,775.25
APOLLOHOSP.NS,5068.5,5109.9501953125,5077.64990234375,5283.0498046875,5146.25,5158.35009765625,5257.0,5252.0498046875,5182.0,5171.7998046875,5219.2998046875,5162.60009765625,5175.60009765625,5195.4501953125,5204.89990234375,5180.7998046875,5212.2001953125,5155.75,5215.5,5346.9501953125,5173.4501953125,5032.39990234375,4996.75,4996.2998046875,4980.2998046875
ASIANPAINT.NS,3358.699951171875,3347.699951171875,3374.39990234375,3399.39990234375,3343.699951171875,3343.14990234375,3392.550048828125,3406.75,3398.550048828125,3429.75,3460.39990234375,3513.449951171875,3514.64990234375,3526.0,3517.699951171875,3543.699951171875,3400.39990234375,3373.0,3369.39990234375,3390.699951171875,3377.35009765625,3342.949951171875,3362.89990234375,3336.35009765625,3339.64990234375
AXISBANK.NS,982.0999755859375,970.7000122070312,966.5,980.9500122070312,976.7000122070312,964.0499877929688,953.2000122070312,950.0,960.1500244140625,957.0499877929688,964.8499755859375,963.6500244140625,964.2999877929688,977.9000244140625,971.2999877929688,971.5,962.5,976.7999877929688,959.9000244140625,949.9500122070312,953.9000244140625,959.9000244140625,945.25,935.5499877929688,952.25
BAJAJ-AUTO.NS,4610.64990234375,4625.39990234375,4890.0498046875,4917.7001953125,4834.0,4897.9501953125,4917.64990234375,4878.4501953125,4866.4501953125,4859.60009765625,4833.14990234375,4860.60009765625,4823.64990234375,4868.7001953125,4862.7001953125,4882.75,4848.9501953125,4870.4501953125,4851.0,4892.5,4931.39990234375,4923.9501953125,4832.10009765625,4826.2998046875,4712.0
BAJFINANCE.NS,7333.0,7860.4501953125,7838.75,7766.25,7622.35009765625,7533.25,7444.0,7431.9501953125,7474.60009765625,7482.35009765625,7510.9501953125,7420.0,7584.7001953125,7596.60009765625,7581.75,7581.60009765625,7606.4501953125,7433.14990234375,7284.10009765625,7381.60009765625,7300.2998046875,7269.7001953125,7203.4501953125,7108.35009765625,7148.7001953125
BAJAJFINSV.NS,1540.0999755859375,1629.5,1613.699951171875,1619.9000244140625,1614.9000244140625,1597.800048828125,1592.4000244140625,1593.199951171875,1615.0999755859375,1614.199951171875,1610.25,1618.300048828125,1644.0999755859375,1635.800048828125,1632.8499755859375,1657.5,1648.8499755859375,1626.449951171875,1614.550048828125,1584.8499755859375,1598.300048828125,1572.3499755859375,1527.0,1493.6500244140625,1486.300048828125
BPCL.NS,375.29998779296875,376.6499938964844,386.54998779296875,393.29998779296875,391.6499938964844,386.20001220703125,390.8999938964844,386.20001220703125,379.54998779296875,379.54998779296875,381.75,378.95001220703125,384.54998779296875,387.95001220703125,390.6499938964844,389.54998779296875,386.3999938964844,387.20001220703125,379.25,373.45001220703125,377.5,377.5,369.1000061035156,368.0,360.3999938964844
BHARTIARTL.NS,879.1500244140625,865.1500244140625,866.6500244140625,869.6500244140625,870.4500122070312,885.4000244140625,891.9000244140625,889.9500122070312,885.0499877929688,886.5,878.0999755859375,875.4500122070312,870.75,884.8499755859375,886.0,888.1500244140625,883.6500244140625,889.4000244140625,895.1500244140625,895.0999755859375,889.9000244140625,891.6500244140625,878.0999755859375,871.7000122070312,889.6500244140625
